N_OBS,dim,seed,eps,alg,dt,sampling_steps,sw,sw_norm
2,2,0,0.0,Langevin,0.6375861167907715,50,0.3625391721725464,0.29362479895353316
2,2,0,0.0,Langevin,1.9178235530853271,150,0.349378764629364,0.2804643914103508
2,2,0,0.0,Langevin,6.924120187759399,400,0.2953752875328064,0.22646091431379317
2,2,0,0.0,Langevin,12.57009220123291,1000,0.333321213722229,0.2644068405032158
2,2,0,0.0,GAUSS,0.5073134899139404,50,0.09749554842710495,0.02858117520809174
2,2,0,0.0,GAUSS,0.7122235298156738,150,0.04973071441054344,-0.01918365880846977
2,2,0,0.0,GAUSS,1.6778860092163086,400,0.09704741835594177,0.02813304513692856
2,2,0,0.0,GAUSS,5.294418096542358,1000,0.13525594770908356,0.06634157449007035
2,2,0,0.0,JAC,0.38108038902282715,50,0.10626140236854553,0.03734702914953232
2,2,0,0.0,JAC,1.0818507671356201,150,0.0579676479101181,-0.010946725308895108
2,2,0,0.0,JAC,2.960303783416748,400,0.06452414393424988,-0.004390229284763333
2,2,0,0.0,JAC,7.56246542930603,1000,0.08147414028644562,0.012559767067432406
4,2,0,0.0,Langevin,0.6281344890594482,50,0.23390759527683258,0.18373568430542947
4,2,0,0.0,Langevin,1.8808691501617432,150,0.2394864708185196,0.18931455984711648
4,2,0,0.0,Langevin,5.013390302658081,400,0.22269859910011292,0.1725266881287098
4,2,0,0.0,Langevin,12.458328247070312,1000,0.19592483341693878,0.14575292244553567
4,2,0,0.0,GAUSS,0.33486223220825195,50,0.055882278829813004,0.005710367858409879
4,2,0,0.0,GAUSS,0.7292721271514893,150,0.0512358620762825,0.0010639511048793765
4,2,0,0.0,GAUSS,1.7322313785552979,400,0.06497523188591003,0.01480332091450691
4,2,0,0.0,GAUSS,3.8177080154418945,1000,0.04728839918971062,-0.0028835117816925077
4,2,0,0.0,JAC,0.3506176471710205,50,0.08780452609062195,0.037632615119218824
4,2,0,0.0,JAC,1.0531566143035889,150,0.04799118638038635,-0.002180724591016772
4,2,0,0.0,JAC,2.8153886795043945,400,0.04694759100675583,-0.003224319964647296
4,2,0,0.0,JAC,7.037110805511475,1000,0.042260847985744476,-0.007911062985658648
8,2,0,0.0,Langevin,0.6253561973571777,50,0.1063193529844284,0.06301839798688888
8,2,0,0.0,Langevin,1.870537519454956,150,0.10402689129114151,0.06072593629360199
8,2,0,0.0,Langevin,4.978945016860962,400,0.08289774507284164,0.039596790075302125
8,2,0,0.0,Langevin,12.490169048309326,1000,0.07921945303678513,0.03591849803924561
8,2,0,0.0,GAUSS,0.3359806537628174,50,0.048495836555957794,0.005194881558418275
8,2,0,0.0,GAUSS,0.7342047691345215,150,0.049421876668930054,0.006120921671390535
8,2,0,0.0,GAUSS,1.72316312789917,400,0.03461727127432823,-0.008683683723211287
8,2,0,0.0,GAUSS,3.7968575954437256,1000,0.06260856986045837,0.019307614862918855
